OBJECTID,FarmNum,PresAbs,PondNum,PondRoost_Dist,PondArea,PondLong,PondLat
756,4,1,3,25132.3795,36988.48426,362496.5439,3662581.996
757,4,1,2,26368.22739,34043.51131,360351.7488,3663169.811
758,4,0,1,26299.83097,19922.36212,360349.6247,3663336.692
759,35,0,7,16151.44597,45243.20088,373481.5158,3665314.472
760,35,0,6,16024.77267,45703.00979,373481.8434,3665451.117
761,35,0,5,15910.3987,44095.03899,373484.5503,3665588.438
762,35,0,4,15794.83924,37718.8489,373485.5489,3665723.258
763,35,0,3,15678.6033,17659.32608,373578.8996,3665852.799
764,35,0,2,15761.75335,18030.20678,373399.348,3665857.876
765,35,1,1,15572.81575,35559.15279,373497.7126,3665971.87
766,14,0,9,25842.36838,17704.24373,358403.7739,3667090.559
767,14,1,25,24907.92234,24945.74733,359451.5114,3667110.166
768,14,0,10,25687.77837,27423.50313,358521.0461,3667169.843
769,14,0,7,25905.60069,26114.96951,358261.4053,3667204.739
770,14,0,24,24830.82644,23570.56505,359439.71,3667273.071
771,14,0,8,25776.34388,26176.09251,358351.9765,3667309.121
772,14,1,26,25013.00427,81372.22907,359215.5734,3667153.103
773,14,0,5,25982.87994,28753.42468,358092.1459,3667350.375
774,14,0,6,25850.46281,27220.84427,358183.0874,3667445.044
775,14,0,27,25272.75679,12231.53401,358879.9728,3667446.732
776,14,0,23,24660.31213,47084.071,359451.1073,3667474.868
777,14,0,2,25861.73276,26137.28389,358073.7368,3667611.319
778,14,0,4,25690.17742,25374.94121,358257.5305,3667614.171
779,14,0,28,25284.72354,19953.40388,358742.1602,3667633.366
780,14,1,1,26074.29338,51012.87667,357874.1756,3667581.308
781,14,0,3,25650.6137,11438.71765,358282.4078,3667729.27
782,14,0,20,24868.94072,34859.23653,359140.9785,3667687.238
783,14,0,21,24739.20789,22577.30848,359327.7701,3667671.074
784,14,0,22,24582.90843,14673.90193,359468.8832,3667725.848
785,14,1,19,24578.38465,42844.3497,359337.8301,3667893.964
786,14,0,17,25027.23294,20340.01537,358880.0493,3667920.987
787,14,0,18,24799.01009,44711.50741,359083.474,3667894.926
789,14,0,15,24710.60497,42568.88084,359085.4406,3668081.883
790,14,0,14,24935.73784,46730.07074,358819.4735,3668085.535
791,14,0,16,24489.40899,43046.1092,359340.1768,3668078.122
792,14,0,12,24625.66092,23187.41775,359138.0403,3668248.463
793,14,1,13,24358.38425,48403.35296,359356.9291,3668263.023
794,14,0,11,24264.16608,49369.51378,359378.1722,3668435.287
795,28,0,9,24877.5239,35248.96733,358429.9917,3669074.504
796,28,0,8,24708.346,27268.67354,358629.1545,3669093.552
797,28,0,10,25072.61883,29058.90626,358216.2938,3669103.35
798,28,0,7,24493.35706,35542.72598,358823.6204,3669154.489
799,28,0,3,24995.7474,24284.52001,358225.0287,3669292.392
800,28,0,4,24883.57392,31596.02952,358382.5591,3669262.399
801,28,0,5,24769.7291,21093.60179,358522.1417,3669285.833
802,28,0,6,24608.09417,16214.34815,358676.9041,3669310.562
803,36,0,9,24335.6888,24070.24957,358460.8919,3670388.12
804,36,0,7,24282.56447,23377.35561,358460.8067,3670535.236
805,36,0,10,24166.23343,29146.51639,358616.0315,3670461.427
806,36,0,8,24451.51296,55843.52665,358264.1359,3670463.785
807,36,0,4,23890.05958,14623.97654,358842.6051,3670657.826
808,36,0,5,24055.74668,16672.68874,358655.2932,3670661.807
809,36,0,6,24207.92413,34132.61467,358457.782,3670717.79
810,36,0,2,23963.09206,49008.75082,358642.3981,3670856.374
811,36,0,1,24148.94805,25227.15832,358456.8365,3670912.801
812,36,0,3,23785.14554,49863.12565,358834.6708,3670852.088
813,5,0,9,27798.60038,39397.5217,354657.4616,3670550.914
814,5,0,8,27609.62382,38786.92888,354869.9797,3670679.748
816,5,0,7,27722.1593,52290.57684,354644.5495,3670763.771
817,5,0,10,27406.39715,22511.79904,355087.4225,3670761.24
818,5,0,6,27529.58374,21450.1632,354876.3305,3670936.93
819,5,1,5,27646.95197,66803.98726,354619.962,3670962.014
820,5,0,4,27598.00638,55413.50671,354582.3955,3671135.676
821,5,0,3,27473.19593,45138.15644,354802.3198,3671256.639
822,5,0,2,27225.31583,44735.99799,354997.4594,3671303.58
823,5,0,1,26903.08993,68409.81592,355196.4221,3671634.381
824,26,0,4,25108.26785,21798.95524,356701.1045,3673176.656
825,26,0,5,24857.41336,33361.71956,356929.5826,3673182.619
826,26,0,1,25544.88595,25463.05468,356189.1612,3673417.471
827,26,0,2,25397.45527,25156.63148,356357.4095,3673400.653
828,26,0,3,25266.94231,26482.65919,356494.0823,3673383.283
829,22,1,4,26278.33017,49175.33649,355239.4747,3674158.76
830,22,0,3,26238.67442,62028.37484,355190.3753,3674392.552
831,22,0,1,26195.44897,17202.47018,355271.6904,3674656.778
832,22,0,2,26266.04281,53966.67051,355089.6148,3674603.134
833,12,0,4,27524.32557,21293.50245,353822.2278,3675298.502
834,12,1,5,27425.31147,22150.21633,353922.82,3675298.374
835,12,0,3,27416.19546,22877.88441,353855.2576,3675495.035
836,12,0,2,27406.33692,23718.19137,353844.1455,3675625.037
837,12,1,7,27203.95753,38231.1231,354060.8137,3675565.277
838,12,0,1,27387.46068,48220.42174,353828.7315,3675821.824
839,12,1,6,27163.38921,45535.58615,354051.3504,3675822.362
840,25,0,11,23089.62785,24506.00285,358513.6984,3674261
841,25,0,12,22965.84058,14822.90578,358674.7251,3674286.014
842,25,0,10,23080.25106,44426.37636,358427.0107,3674416.979
843,25,0,9,22436.39757,52744.39723,358903.8989,3675492.708
844,25,0,8,22562.82264,47233.24322,358730.6279,3675728.652
845,25,0,6,22084.61677,27857.10603,359155.0763,3676091.126
846,25,1,7,21914.89351,25261.36498,359322.5418,3676079.772
847,25,0,3,22126.4717,18051.29106,359114.0965,3676246.107
848,25,0,4,21982.54753,19454.80493,359256.9205,3676246.287
849,25,0,5,21833.04279,19441.77485,359403.8477,3676249.234
850,25,0,1,21937.98228,33725.59639,359196.1949,3676389.478
851,25,0,2,21810.55366,12565.58887,359424.4793,3676389.3
852,25,0,0,21930.32102,29670.75596,359185.2858,3676505.49
853,29,0,3,20261.30536,38734.56344,361285.0229,3674836.548
854,29,0,1,20336.50705,14146.60194,361156.8934,3675036.122
855,29,0,2,20168.81915,25453.4912,361382.7172,3674959.84
856,7,0,3,25750.5204,39812.92984,355268.6087,3677696.54
857,7,0,1,25948.81076,30609.08109,355058.0624,3677798.589
858,7,0,2,25741.7235,35421.26228,355230.2432,3677892.341
859,2,0,9,17976.79827,34198.22157,363019.7878,3681027.351
860,2,0,10,17748.84995,37507.88395,363203.9068,3681021.793
861,2,0,7,18062.60089,18564.06624,362982.2016,3681238.69
862,2,0,8,17960.01843,18405.06137,363083.1522,3681240.858
863,2,1,6,17991.05684,39308.84987,363030.4564,3681455.704
864,2,0,4,18624.08224,35009.95453,362480.7706,3682621.95
865,2,0,5,18366.11668,27827.90212,362763.3541,3682626.041
866,2,0,2,18510.13632,17214.09794,362711.5845,3682785.017
867,2,0,1,18638.70869,45887.83503,362490.7614,3682780.077
868,2,0,3,18377.97874,17527.5643,362846.1439,3682788.467
869,1,0,14,18168.35387,39166.91686,449074.1619,3601335.93
870,1,0,13,18146.99226,37178.88371,449074.7251,3601540.331
871,1,1,12,17586.19231,50949.49274,448567.339,3601606.715
872,1,0,11,18127.30122,33190.46723,449077.4365,3601730.099
873,1,0,10,17880.62768,37740.41469,448840.4892,3601734.558
874,1,1,8,17859.74982,37512.48156,448834.1961,3601915.132
875,1,1,9,18102.34449,33348.9931,449068.5611,3601912.977
876,1,0,6,17840.49393,33045.93411,448807.4839,3602104.454
877,1,0,7,18028.11111,44186.09542,449023.038,3602104.636
878,1,0,4,18465.67526,35132.08468,449454.3516,3602135.338
879,1,1,5,18011.13932,43761.78954,449017.748,3602298.459
880,1,0,2,18303.82866,28983.18875,449266.0136,3602287.676
881,1,0,3,18460.18164,34677.7,449457.7786,3602307.897
882,1,0,1,18334.84839,32022.79664,449343.5982,3602490.465
883,1,1,22,21675.00737,60981.17399,452620.6115,3605366.069
884,1,0,21,21502.81867,59909.74229,452433.1327,3605375.419
885,1,0,17,21172.29719,28184.97521,452064.1798,3605522.984
886,1,0,18,21313.80787,21671.73152,452212.5517,3605581.668
887,1,0,20,21703.55598,34574.96007,452616.4797,3605651.684
888,1,0,19,21513.34365,34849.45214,452422.2023,3605659.063
889,1,1,16,21332.09077,47079.87404,452232.7144,3605800.644
890,1,1,15,21196.17705,32039.3705,452060.8483,3605802.506
891,16,0,25,15919.89003,42984.1092,366197.6491,3673667.376
892,16,0,23,15780.41471,8350.707508,366316.6995,3673885.714
893,16,0,24,15687.63817,8532.072647,366420.8798,3673905
894,16,0,20,15906.53274,50601.55345,366115.0795,3673929.928
895,16,0,21,15725.44639,25094.00264,366289.0491,3674010.653
896,16,0,22,15564.13058,25733.16494,366474.5999,3673994.99
897,16,0,26,14926.69397,9213.989811,367058.8591,3674350.222
898,16,0,15,15090.73296,13653.4147,366870.6574,3674352.834
899,16,0,16,14990.2501,18993.23436,366966.9454,3674346.756
900,16,1,13,15023.17265,19915.81095,366856.673,3674542.359
901,16,0,14,14851.78281,30835.05509,367010.293,3674534.546
902,16,0,27,14996.44065,10224.75047,366850.756,3674690.177
